ANO,MES,DIA,UNIDADES,DIA_SEMANA,FECHAS_IMPORT
2016,1,2,125.5859985,6,0
2016,1,3,70.96800232,7,0
2016,1,4,36.12400055,1,0
2016,1,5,87.1230011,2,0
2016,1,6,42.47600174,3,0
2016,1,7,60.22999954,4,0
2016,1,8,123.151001,5,0
2016,1,9,140.9559937,6,0
2016,1,10,78.66999817,7,0
2016,1,11,29.02199936,1,0
2016,1,12,35.12599945,2,0
2016,1,13,56.39599991,3,0
2016,1,14,48.67900085,4,0
2016,1,15,65.04000092,5,0
2016,1,16,116.3150024,6,0
2016,1,17,63.69800186,7,0
2016,1,18,40.95399857,1,0
2016,1,19,59.42200089,2,0
2016,1,20,30.44199944,3,0
2016,1,21,41.53499985,4,0
2016,1,22,49.41600037,5,0
2016,1,23,81.0510025,6,0
2016,1,24,43.77899933,7,0
2016,1,25,60.35100174,1,0
2016,1,26,67.27100372,2,0
2016,1,27,65.27799988,3,0
2016,1,28,80.39800262,4,0
2016,1,29,133.3580017,5,0
2016,1,30,144.9340057,6,0
2016,1,31,72.84799957,7,0
2016,2,1,82.60399628,1,0
2016,2,2,195.9929962,2,0
2016,2,3,87.26000214,3,0
2016,2,4,116.5169983,4,0
2016,2,5,122.8799973,5,0
2016,2,6,144.7879944,6,0
2016,2,7,115.7229996,7,0
2016,2,8,100.8659973,1,0
2016,2,9,235.5950012,2,0
2016,2,10,84.43599701,3,0
2016,2,11,70.15200043,4,0
2016,2,12,80.14299774,5,0
2016,2,13,133.9400024,6,0
2016,2,14,114.1829987,7,0
2016,2,15,87.72299957,1,0
2016,2,16,71.16000366,2,0
2016,2,17,69.08999634,3,0
2016,2,18,58.36999893,4,0
2016,2,19,118.7050018,5,0
2016,2,20,134.4889984,6,0
2016,2,21,66.50700378,7,0
2016,2,22,45.30899811,1,0
2016,2,23,45.50299835,2,0
2016,2,24,42.63199997,3,0
2016,2,25,50.06000137,4,0
2016,2,26,49.68500137,5,0
2016,2,27,127.8010025,6,0
2016,2,28,69.21800232,7,0
2016,2,29,42.9640007,1,0
2016,3,1,38.47000122,2,0
2016,3,2,57.09199905,3,0
2016,3,3,29.00200081,4,0
2016,3,4,147.326004,5,0
2016,3,5,146.9600067,6,0
2016,3,6,75.41600037,7,0
2016,3,7,41.74700165,1,0
2016,3,8,54.02000046,2,0
2016,3,9,9.623000145,3,0
2016,3,10,38.125,4,0
2016,3,11,179.6820068,5,0
2016,3,12,340.802002,6,0
2016,3,13,139.4179993,7,0
2016,3,14,24.26600075,1,0
2016,3,15,21.70700073,2,0
2016,3,16,18.14599991,3,0
2016,3,17,18.55200005,4,0
2016,3,18,35.85599899,5,0
2016,3,19,61.86600113,6,0
2016,3,20,38.25999832,7,0
2016,3,21,23.20800018,1,0
2016,3,22,44.00999832,2,0
2016,3,23,37.82099915,3,0
2016,3,24,137.1150055,4,1
2016,3,25,67.29000092,5,1
2016,3,26,135.9819946,6,1
2016,3,27,94.78199768,7,0
2016,3,28,52.59000015,1,0
2016,3,29,98.41899872,2,0
2016,3,30,61.49000168,3,0
2016,3,31,95.08200073,4,0
2016,4,1,108.6070023,5,0
2016,4,2,269.6059875,6,0
2016,4,3,197.0839996,7,0
2016,4,4,17.34700012,1,0
2016,4,5,32.62799835,2,0
2016,4,6,39.29100037,3,0
2016,4,7,50.95600128,4,0
2016,4,8,206.6040039,5,0
2016,4,9,316.0859985,6,0
